"X1....c.ngold..nfail.","X2....c.rep..1...600...rep..2...600.."
0.11081,"1"
-0.026574,"1"
0.7566,"1"
0.87356,"1"
0.51102,"1"
0.35475,"1"
0.60146,"1"
0.79181,"1"
0.38794,"1"
0.61179,"1"
0.38016,"1"
0.34815,"1"
0.11,"1"
0.77253,"1"
0.67084,"1"
0.73015,"1"
0.058158,"1"
0.75991,"1"
0.74364,"1"
0.77181,"1"
0.1815,"1"
0.13081,"1"
0.12818,"1"
0.76055,"1"
0.28695,"1"
-0.0071488,"1"
0.41886,"1"
0.44021,"1"
0.079361,"1"
0.57187,"1"
0.78214,"1"
0.70726,"1"
-0.0051685,"1"
0.76352,"1"
0.38071,"1"
0.65643,"1"
0.38123,"1"
0.16602,"1"
0.91251,"1"
0.41919,"1"
0.090207,"1"
-0.058159,"1"
0.50927,"1"
-0.040027,"1"
0.27198,"1"
0.69005,"1"
0.44483,"1"
0.41677,"1"
0.30725,"1"
0.4436,"1"
0.41344,"1"
0.23999,"1"
0.55441,"1"
0.016405,"1"
0.10366,"1"
0.63855,"1"
0.5092,"1"
0.7427,"1"
0.037987,"1"
0.37615,"1"
0.74397,"1"
0.51953,"1"
0.32277,"1"
-0.071643,"1"
0.47212,"1"
0.34012,"1"
0.69311,"1"
0.29826,"1"
0.89498,"1"
0.61777,"1"
0.90928,"1"
0.38883,"1"
0.72074,"1"
0.13068,"1"
0.4984,"1"
0.27572,"1"
0.20916,"1"
-0.031508,"1"
0.0010083,"1"
0.5383,"1"
0.67966,"1"
0.62614,"1"
0.0228,"1"
0.7464,"1"
0.16995,"1"
0.034517,"1"
-0.011295,"1"
0.48136,"1"
0.34066,"1"
0.41599,"1"
0.43881,"1"
0.75277,"1"
0.37317,"1"
0.10519,"1"
0.89334,"1"
0.84988,"1"
0.22801,"1"
0.62132,"1"
0.20252,"1"
0.10766,"1"
0.58183,"1"
0.037917,"1"
0.27622,"1"
0.63296,"1"
0.20458,"1"
0.41811,"1"
0.6713,"1"
-0.079236,"1"
0.55322,"1"
0.26767,"1"
-0.0056382,"1"
-0.067096,"1"
0.32774,"1"
-0.045987,"1"
0.59801,"1"
0.11649,"1"
0.091822,"1"
0.81328,"1"
0.70171,"1"
0.47299,"1"
0.049668,"1"
0.26008,"1"
0.66045,"1"
-0.028298,"1"
0.62645,"1"
0.88204,"1"
0.29711,"1"
0.46668,"1"
0.46277,"1"
0.37005,"1"
0.78281,"1"
0.21676,"1"
0.71367,"1"
-0.0088863,"1"
0.11101,"1"
0.65771,"1"
0.8867,"1"
0.0052731,"1"
0.089339,"1"
-0.09245,"1"
0.69839,"1"
0.60075,"1"
0.64809,"1"
0.49037,"1"
0.25768,"1"
-0.0096915,"1"
0.60331,"1"
0.93679,"1"
0.45949,"1"
0.71293,"1"
0.059351,"1"
0.056245,"1"
0.49984,"1"
0.14889,"1"
0.33195,"1"
0.30115,"1"
0.6683,"1"
0.65396,"1"
0.2793,"1"
0.75017,"1"
0.70876,"1"
0.32458,"1"
0.72547,"1"
0.36588,"1"
0.79776,"1"
0.51682,"1"
0.89194,"1"
0.30781,"1"
0.30883,"1"
0.66497,"1"
0.093851,"1"
0.66926,"1"
0.061408,"1"
0.28691,"1"
0.40184,"1"
0.63767,"1"
0.61065,"1"
0.38397,"1"
0.60935,"1"
0.54096,"1"
0.81063,"1"
0.58269,"1"
0.81951,"1"
-0.05934,"1"
0.13466,"1"
0.59648,"1"
0.90785,"1"
-0.035889,"1"
0.45369,"1"
0.52518,"1"
0.57907,"1"
0.78358,"1"
0.56999,"1"
0.71833,"1"
0.71358,"1"
0.0022313,"1"
0.87075,"1"
0.47986,"1"
0.81405,"1"
-0.028758,"1"
-0.0057169,"1"
0.71682,"1"
0.48004,"1"
0.64294,"1"
0.05547,"1"
-0.011507,"1"
0.021687,"1"
0.48172,"1"
0.33961,"1"
0.5744,"1"
0.096261,"1"
0.37156,"1"
0.83293,"1"
0.69166,"1"
0.72961,"1"
0.039114,"1"
0.6391,"1"
0.36468,"1"
0.071949,"1"
0.55013,"1"
0.13795,"1"
0.34326,"1"
0.86534,"1"
0.51351,"1"
0.87723,"1"
0.66743,"1"
0.42065,"1"
0.67088,"1"
0.35617,"1"
-0.06829,"1"
0.36035,"1"
0.88052,"1"
0.24586,"1"
0.50823,"1"
0.25442,"1"
0.82038,"1"
0.72635,"1"
0.58947,"1"
0.17962,"1"
0.51057,"1"
0.64663,"1"
0.15822,"1"
0.50854,"1"
0.46183,"1"
0.52247,"1"
0.70005,"1"
0.60405,"1"
0.82815,"1"
0.61902,"1"
0.37162,"1"
0.72438,"1"
0.089133,"1"
0.57725,"1"
0.39739,"1"
0.78293,"1"
0.54481,"1"
0.75272,"1"
0.33195,"1"
0.7577,"1"
0.84213,"1"
0.089289,"1"
0.10074,"1"
0.67105,"1"
0.26285,"1"
0.063956,"1"
0.82271,"1"
0.44694,"1"
-0.025885,"1"
-0.055353,"1"
0.92571,"1"
0.68398,"1"
0.57349,"1"
0.80156,"1"
0.37234,"1"
0.49862,"1"
0.63586,"1"
0.6277,"1"
0.34235,"1"
0.46056,"1"
0.59937,"1"
0.37611,"1"
0.37814,"1"
0.78872,"1"
0.81083,"1"
0.74392,"1"
0.81614,"1"
0.45629,"1"
0.78783,"1"
0.88365,"1"
0.44097,"1"
0.41565,"1"
0.15692,"1"
0.86347,"1"
0.37239,"1"
0.23353,"1"
0.27701,"1"
0.59575,"1"
0.39138,"1"
0.31119,"1"
0.51654,"1"
0.4797,"1"
0.49531,"1"
0.81895,"1"
0.64772,"1"
0.42993,"1"
0.65128,"1"
0.084109,"1"
0.8722,"1"
0.0021522,"1"
0.4189,"1"
0.36619,"1"
0.67269,"1"
0.65225,"1"
0.2324,"1"
0.84983,"1"
0.89539,"1"
0.26814,"1"
0.74497,"1"
0.30629,"1"
0.82327,"1"
-0.074801,"1"
0.41982,"1"
0.4013,"1"
0.72335,"1"
0.4423,"1"
0.46663,"1"
0.10074,"1"
0.57769,"1"
0.1649,"1"
0.68435,"1"
0.62969,"1"
0.48283,"1"
0.63099,"1"
0.74546,"1"
0.7389,"1"
0.71882,"1"
0.42888,"1"
0.3951,"1"
0.48748,"1"
0.51866,"1"
-0.050915,"1"
0.54185,"1"
0.45487,"1"
0.37172,"1"
0.60847,"1"
0.80987,"1"
0.47879,"1"
0.48278,"1"
0.79608,"1"
0.57964,"1"
0.016187,"1"
0.5775,"1"
-0.015731,"1"
0.26794,"1"
0.76814,"1"
0.48611,"1"
0.46744,"1"
0.38201,"1"
0.78083,"1"
0.74998,"1"
0.85104,"1"
0.75719,"1"
0.30467,"1"
0.67535,"1"
0.0032282,"1"
0.10225,"1"
0.64101,"1"
0.76075,"1"
0.40842,"1"
0.45367,"1"
0.46183,"1"
0.8579,"1"
0.27981,"1"
0.46198,"1"
0.48068,"1"
0.39686,"1"
0.35373,"1"
0.57821,"1"
0.50615,"1"
0.55772,"1"
0.68194,"1"
0.39053,"1"
-0.04047,"1"
0.55142,"1"
-0.0098744,"1"
0.04196,"1"
0.32251,"1"
-0.073639,"1"
0.14017,"1"
0.45504,"1"
0.72034,"1"
0.62544,"1"
0.13436,"1"
0.46529,"1"
0.76136,"1"
0.77472,"1"
0.61071,"1"
0.72284,"1"
0.53647,"1"
0.23713,"1"
0.43904,"1"
0.78438,"1"
0.43298,"1"
0.61057,"1"
0.6088,"1"
0.23079,"1"
0.38885,"1"
0.21638,"1"
0.21666,"1"
0.51569,"1"
0.10636,"1"
0.47853,"1"
0.51982,"1"
0.2397,"1"
0.56748,"1"
0.3814,"1"
0.046858,"1"
0.60951,"1"
0.0136,"1"
0.74887,"1"
-0.017547,"1"
0.41921,"1"
0.48339,"1"
0.4141,"1"
0.30951,"1"
-0.050645,"1"
0.57086,"1"
0.72133,"1"
0.41854,"1"
0.46343,"1"
0.56566,"1"
0.79894,"1"
0.60063,"1"
0.37258,"1"
-0.023243,"1"
0.47143,"1"
0.32272,"1"
0.87987,"1"
0.43531,"1"
0.69535,"1"
0.74168,"1"
0.66659,"1"
0.43369,"1"
0.58378,"1"
0.65943,"1"
0.42463,"1"
-0.029221,"1"
0.56247,"1"
0.56661,"1"
0.32309,"1"
0.54156,"1"
0.41126,"1"
-0.057714,"1"
0.24214,"1"
0.82516,"1"
0.8839,"1"
0.44071,"1"
0.6423,"1"
0.019851,"1"
0.025243,"1"
0.71979,"1"
0.79178,"1"
0.56568,"1"
0.67669,"1"
0.50971,"1"
0.1454,"1"
0.17359,"1"
0.42118,"1"
0.29877,"1"
0.20057,"1"
0.26464,"1"
0.50699,"1"
0.33772,"1"
0.76562,"1"
0.11975,"1"
-0.064105,"1"
0.20922,"1"
0.65877,"1"
0.55842,"1"
0.65317,"1"
0.74385,"1"
0.25309,"1"
0.63125,"1"
0.72279,"1"
0.37999,"1"
0.50023,"1"
0.22408,"1"
0.69542,"1"
0.49814,"1"
0.36057,"1"
0.24041,"1"
0.65272,"1"
0.79182,"1"
0.82885,"1"
0.90766,"1"
0.78978,"1"
0.053455,"1"
0.72449,"1"
0.52006,"1"
0.75994,"1"
0.32483,"1"
0.19249,"1"
0.41055,"1"
0.65111,"1"
0.67486,"1"
0.11336,"1"
0.62503,"1"
0.42075,"1"
0.54495,"1"
0.22715,"1"
0.40707,"1"
0.18087,"1"
0.71096,"1"
0.028654,"1"
0.2889,"1"
0.23878,"1"
0.58387,"1"
0.60854,"1"
0.34883,"1"
0.66047,"1"
0.02268,"1"
0.36171,"1"
0.62125,"1"
0.062425,"1"
0.61958,"1"
0.57741,"1"
0.29854,"1"
0.73084,"1"
0.073469,"1"
0.45415,"1"
0.63862,"1"
0.53563,"1"
0.73685,"1"
0.66109,"1"
0.24504,"1"
0.63992,"1"
0.46338,"1"
0.4916,"1"
0.061651,"1"
0.44522,"1"
0.49849,"1"
0.088286,"1"
0.41559,"1"
0.63021,"1"
0.7697,"1"
0.72914,"1"
0.45066,"1"
0.21807,"1"
0.3093,"1"
0.6444,"1"
0.090063,"1"
0.57213,"1"
0.44535,"1"
0.78704,"1"
0.17466,"1"
0.50456,"1"
-0.053889,"1"
0.36443,"1"
0.32114,"1"
0.44693,"1"
0.77136,"1"
0.82756,"1"
0.51495,"1"
0.48066,"1"
0.47697,"1"
0.30901,"1"
0.6061,"1"
0.030795,"1"
0.49866,"1"
0.58904,"1"
0.46254,"1"
0.50462,"1"
0.63929,"1"
0.41199,"1"
0.3797,"1"
0.15997,"1"
0.24833,"1"
0.41236,"1"
-0.046987,"1"
0.73569,"1"
0.22344,"1"
0.29282,"1"
0.031779,"1"
0.48427,"1"
0.52847,"1"
0.29684,"1"
0.4452,"1"
0.51342,"1"
0.59754,"1"
0.36869,"1"
0.55281,"1"
0.81632,"1"
0.51132,"1"
0.12022,"1"
0.57776,"1"
0.73989,"1"
-0.064105,"1"
0.26885,"1"
0.1988,"1"
0.68438,"1"
0.20562,"2"
0.30758,"2"
0.033657,"2"
0.28533,"2"
0.30536,"2"
-0.066532,"2"
0.40364,"2"
-0.037696,"2"
0.038321,"2"
0.39754,"2"
0.13903,"2"
0.34325,"2"
-0.036902,"2"
0.20585,"2"
-0.011794,"2"
0.35252,"2"
0.1527,"2"
0.17904,"2"
0.0098155,"2"
-0.062052,"2"
0.4063,"2"
0.14296,"2"
0.21042,"2"
0.12836,"2"
-0.0049232,"2"
0.0032806,"2"
